EmployeeID,FirstName,LastName,Department,Position,Salary,DateOfJoining,Age,Gender
1,Bob,Brown,Sales,Specialist,69734.0,2017-04-05,22,F
2,Charlie,Smith,Finance,Clerk,102615.0,2019-07-08,24,M
3,Alice,Smith,Sales,Analyst,unknown,2019-02-25,34,M
4,Charlie,Smith,Sales,Manager,47019.0,2016-02-17,49,F
5,Charlie,Smith,Engineering,Manager,113613.0,2016-12-29,-5,F
6,Jane,Jones,Finance,Clerk,116672.0,2016-11-06,54,F
7,Alice,Williams,Finance,Analyst,103847.0,,59,F
8,Alice,Williams,Engineering,Analyst,112750.0,2021-11-09,27,M
9,Alice,Smith,HR,Specialist,unknown,2021-02-17,53,F
10,Charlie,Williams,Sales,Analyst,58251.0,2018-01-27,-4,M
11,Bob,Williams,IT,Analyst,,2019-04-21,37,F
12,Alice,Smith,Sales,Analyst,62217.0,2017-09-04,42,F
13,Diana,Williams,Sales,Engineer,38308.0,2017-10-05,32,F
14,Charlie,Brown,HR,Specialist,35949.0,2020-11-13,58,F
15,Jane,Johnson,Sales,Manager,81990.0,2019-08-15,57,F
16,Bob,Johnson,Engineering,Clerk,31150.0,,56,M
17,Diana,Smith,Engineering,Manager,119480.0,2019-03-29,40,M
18,Diana,Jones,Finance,Specialist,104740.0,2021-05-15,41,F
19,Jane,Smith,IT,Clerk,96617.0,2021-03-14,39,F
20,Bob,Jones,Sales,Specialist,unknown,2017-05-22,35,M
21,Charlie,Johnson,Sales,Analyst,76175.0,2019-12-27,36,F
22,John,Smith,HR,Clerk,37805.0,2018-07-20,52,F
23,Bob,Davis,Engineering,Analyst,35237.0,2020-10-10,22,M
24,Jane,Brown,IT,Manager,50056.0,2016-08-18,24,F
25,Diana,Williams,Finance,Manager,75543.0,2020-03-18,37,F
26,Charlie,Jones,Engineering,Clerk,86556.0,2016-12-29,44,M
27,Bob,Davis,Finance,Clerk,33343.0,2018-09-27,32,M
28,John,Williams,HR,Specialist,43500.0,2016-02-01,33,M
29,John,Williams,HR,Specialist,83222.0,2016-11-29,31,F
30,Alice,Smith,Sales,Analyst,59375.0,2021-02-02,53,M
31,Alice,Williams,IT,Clerk,,2019-06-24,37,M
32,Jane,Brown,Finance,Manager,46964.0,2016-01-31,29,M
33,Bob,Davis,Engineering,Specialist,89638.0,2021-10-28,59,M
34,Bob,Williams,HR,Specialist,103666.0,2015-03-17,33,M
